modelo,combustivel,cor,ano,km,valor
FIAT TORO ULTRA 2.0 16V 4X4 DIESEL AUT 2022,DIESEL,BRANCO,2022,0,"R$210.900,00"
CHEVROLET TRACKER LT 1.0 TURBO 12V FLEX AUT. 2022,FLEX,LARANJA,2022,44.572,"R$115.900,00"
RENAULT KWID ZEN 1.0 MEC 2022,FLEX,BRANCO,2022,4.692,"R$55.900,00"
VOLKSWAGEN GOL 1.0 G8 2022,FLEX,BRANCO,2022,39.000,"R$59.900,00"
RENAULT KWID OUTSIDER 1.0 2022,FLEX,PRATA,2022,11.782,"R$65.900,00"
FIAT PULSE IMPETUS 1.0 TURBO CVT 2022,FLEX,BRANCO,2022,9.966,"R$117.990,00"
VOLKSWAGEN GOL 1.6L MB5 2022,FLEX,BRANCO,2022,14.800,"R$65.990,00"
TOYOTA YARIS HATCH XS 1.5 AUT 2022,FLEX,BRANCO,2022,19.845,"R$99.990,00"
CHERY TIGGO 3X TURBO PRO 2022,FLEX,BRANCO,2022,7.007,"R$99.990,00"
FIAT ARGO DRIVE 1.0 2022,FLEX,PRETO,2022,8.000,"R$71.990,00"
VOLKSWAGEN T-CROSS SENSE 200 TSI AUT. 2022,FLEX,BRANCO,2022,22.000,"R$99.990,00"
VOLKSWAGEN NIVUS HL TSI AD 2022,FLEX,CINZA,2022,4.000,"R$131.900,00"
HYUNDAI HB20 1.0 MT EVOLUTION 2022,FLEX,BRANCO,2022,10.800,"R$72.900,00"
NISSAN VERSA EXCL CVT 2022,FLEX,BRANCO,2022,12.440,"R$109.990,00"
FIAT TORO ENDURANCE 2.0 16V 4X4 DIESEL 2022,DIESEL,BRANCO,2022,34.000,"R$159.990,00"
JEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT 2022,DIESEL,PRATA,2022,20.000,"R$219.990,00"
TOYOTA COROLLA ALTIS PREMIUM HYBRID 1.8 FLEX AUT. 2022,FLEX,PRETO,2022,9.000,"R$179.990,00"
RENAULT SANDERO RS RACING SPIRIT FLEX 2.0 16V 5P 2022,FLEX,BRANCO,2022,15.000,"R$95.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2022,DIESEL,VERMELHO,2022,30.000,"R$329.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2022,DIESEL,PRETO,2022,62.000,"R$299.990,00"
MITSUBISHI PAJERO SPORT HPE S 2.4 4X4 DIESEL 2022,DIESEL,AZUL,2022,7.000,"R$389.990,00"
FIAT TORO ULTRA AT9 4X4 2022,DIESEL,VERMELHO,2022,7.000,"R$209.990,00"
VOLKSWAGEN SAVEIRO CROSS 1.6 T.FLEX 16V CD 2022,FLEX,PRETO,2022,34.000,"R$109.990,00"
RENAULT SANDERO GT LINE/RLIN FLEX 1.0 12V 5P 2022,FLEX,BRANCO,2022,20,"R$74.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2022,DIESEL,BRANCO,2022,9.000,"R$329.990,00"
TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT. 2022,FLEX,BRANCO,2022,13.000,"R$169.990,00"
CHERY TIGGO 7 TXS 1.5 16V TURBO FLEX AUT. 2022,FLEX,BRANCO,2022,22.000,"R$135.990,00"
CHEVROLET TRAILBLAZER PREMIER D4A 2022,DIESEL,PRATA,2022,27.000,"R$329.990,00"
