modelo,combustivel,cor,ano,km,valor
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL 2020,FLEX,PRETO,2020,51.000,"R$61.980,00"
FORD RANGER 2.2 XLS 4X4 CD 16V DIESEL 4P MANUAL 2020,DIESEL,PRATA,2020,74.657,"R$152.980,00"
VOLKSWAGEN FOX CONNECT 1.6 MB MANUAL 2020,FLEX,VERMELHO,2020,54.944,"R$61.980,00"
HONDA CIVIC 1.5 16V TURBO GASOLINA TOURING 4P CVT 2020,GASOLINA,CINZA,2020,41.300,"R$149.980,00"
RENAULT KWID 1.0 12V SCE ZEN MANUAL 2020,FLEX,BRANCO,2020,61.580,"R$47.980,00"
CHEVROLET S10 PICK-UP LT 2.8 TDI 4X4 CD DIESEL 2020,DIESEL,PRATA,2020,39.037,"R$188.980,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL 2020,FLEX,PRATA,2020,99.664,"R$64.980,00"
CHEVROLET S10 2.8 LT 4X4 CD 16V TURBO DIESEL 4P AUTOMÁTICO 2020,DIESEL,PRATA,2020,39.037,"R$184.980,00"
RENAULT SANDERO LIFE 1.0 MANUAL 2020,FLEX,BRANCO,2020,51.000,"R$52.980,00"
VOLKSWAGEN UP XTREME TSI MD 2020,FLEX,BRANCO,2020,73.551,"R$72.990,00"
RENAULT DUSTER EXP 1.6 SCE 2020,FLEX,PRATA,2020,49.924,"R$79.990,00"
FIAT UNO ATTRACTIVE 1.0 2020,FLEX,BRANCO,2020,82.187,"R$49.990,00"
CHEVROLET ONIX 10AT PRI 2020,FLEX,BRANCO,2020,48.000,"R$89.990,00"
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL 2020,FLEX,PRATA,2020,67.653,"R$59.990,00"
FIAT STRADA 1.4 MPI HARD WORKING CE 8V FLEX 2P MANUAL 2020,FLEX,PRATA,2020,55.218,"R$64.990,00"
HYUNDAI HB20 1.0 SENSE 2020,FLEX,VERMELHO,2020,56.605,"R$57.990,00"
CHEVROLET ONIX 1.0 TURBO AT HB 2020,FLEX,VERMELHO,2020,47.063,"R$69.990,00"
FORD KA 1.5 SE AUTOMATICO 2020,FLEX,CINZA,2020,20.430,"R$67.990,00"
CHEVROLET ONIX 1.0 JOY 8V FLEX 4P MANUAL 2020,FLEX,PRETO,2020,82.706,"R$54.990,00"
RENAULT SANDERO STEPWAY ZEN 1.6 2020,FLEX,PRETO,2020,85.350,"R$62.990,00"
RENAULT SANDERO ZEN 1.6 MANUAL 2020,FLEX,PRETO,2020,41.056,"R$59.990,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO 2020,FLEX,BRANCO,2020,51.399,"R$84.990,00"
CHEVROLET ONIX 1.0 MT JOY 2020,FLEX,PRATA,2020,80.468,"R$54.990,00"
CHEVROLET S10 2.8 HIGH COUNTRY 4X4 CD 16V TURBO DIESEL 4P AUTOMÁTICO 2020,DIESEL,PRETO,2020,78.509,"R$209.900,00"
AUDI Q5 PRESTIGE 2.0 TFSI QUATTRO S TRONIC 2020,GASOLINA,BRANCO,2020,41.460,"R$218.990,00"
CHEVROLET Onix PLUS JOY 2020,FLEX,CINZA,2020,90.615,"R$61.990,00"
FORD Ranger XLT CD 4X4 AUT 2020,DIESEL,PRETO,2020,81.281,"R$193.000,00"
CHEVROLET Onix JOY 1.0 SPE 8V FLEX 2020,FLEX,BRANCO,2020,73.350,"R$59.990,00"
TOYOTA Hilux Cabine Dupla GR-SPORT AUT 4.0V6 GAS 2020,GASOLINA,BRANCO,2020,47.179,"R$220.990,00"
FIAT Mobi LIKE 1.0 8V FLEX 4P 2020,FLEX,BRANCO,2020,70.310,"R$52.990,00"
RENAULT Kwid ZEN 1.0 MT 2020,FLEX,BRANCO,2020,83.981,"R$48.990,00"
VOLKSWAGEN T-Cross HIGHLINE 1.4 250 TSI 2020,FLEX,VERMELHO,2020,90.276,"R$112.990,00"
PEUGEOT 3008 GRIFFE PACK 1.6 TURBO 2020,GASOLINA,BRANCO,2020,30.402,"R$166.990,00"
FIAT Strada HARD WORK CS 1.4 2020,FLEX,PRATA,2020,61.087,"R$67.990,00"
RENAULT Kwid ZEN 1.0 MT 2020,FLEX,BRANCO,2020,94.090,"R$48.990,00"
FIAT Toro ULTRA AT9 D4 2020,DIESEL,BRANCO,2020,69.782,"R$169.990,00"
NISSAN Kicks SV CVT 2020,FLEX,PRETO,2020,73.941,"R$92.990,00"
NISSAN VERSA SV 1.6 16V FLEX XTRONIC 2020,FLEX,VERMELHO,2020,58.624,"R$71.990,00"
VOLKSWAGEN T-Cross HIGHLINE 1.4TSI AUT 2020,FLEX,PRATA,2020,50.505,"R$117.000,00"
VOLKSWAGEN Up CONNECT TSI MD 2020,FLEX,CINZA,2020,44.470,"R$72.990,00"
FIAT TORO VOLCANO 2.0 16V 4X4 TB 2020,DIESEL,BRANCO,2020,111.000,R$Consulte
RENAULT KWID ZEN 1.0 2020,FLEX,BRANCO,2020,44.000,"R$47.900,00"
RAM 2500 LARAMIE 6.7 TDI CD 4X4 DIESEL 2020,DIESEL,VERMELHO,2020,45.000,"R$439.900,00"
TOYOTA HILUX CD GR-S 4X4 2.8 TDI DIES AUT 2020,DIESEL,BRANCO,2020,64.000,"R$263.900,00"
CHEVROLET ONIX PLUS 10TAT PR2 2020,FLEX,BRANCO,2020,44.350,"R$89.990,00"
JEEP COMPASS LONGITUDE D 2020,DIESEL,BRANCO,2020,23.313,"R$163.900,00"
JEEP RENEGADE SPORT AT 2020,FLEX,CINZA,2020,31.484,"R$89.990,00"
TOYOTA COROLLA ALTIS 2.0 2020,FLEX,PRETO,2020,46.600,"R$144.990,00"
JEEP COMPASS LIMITED D 2020,DIESEL,PRETO,2020,42.704,"R$179.990,00"
HONDA HR-V EX CVT 2020,FLEX,AZUL,2020,31.369,"R$119.990,00"
TOYOTA ETIOS SD XPLUS AT 2020,FLEX,PRETO,2020,58.998,"R$70.900,00"
FIAT FIORINO HARD WK 2020,FLEX,BRANCO,2020,78.090,"R$80.900,00"
FIAT ARGO DRIVE 1.0 2020,FLEX,BRANCO,2020,56.036,"R$57.900,00"
FIAT UNO ATTACTIVE 1.0 2020,FLEX,BRANCO,2020,36.371,"R$49.900,00"
CHEVROLET ONIX 1.0 JOY 2020,FLEX,AZUL,2020,62.107,"R$57.900,00"
FORD KA SE PLUS 1.5 HA C 2020,FLEX,PRETO,2020,43.642,"R$62.900,00"
RENAULT DUSTER EXP16 SCE 2020,FLEX,PRATA,2020,79.465,"R$72.900,00"
FORD KA SE 1.0 HA C 2020,FLEX,CINZA,2020,60.352,"R$51.900,00"
RENAULT SANDERO LIFE 10MT 2020,FLEX,BRANCO,2020,71.452,"R$51.900,00"
FIAT UNO ATTRACTIVE 1.0 2020,FLEX,BRANCO,2020,61.900,"R$50.900,00"
PEUGEOT 2008 GRIFFE AT 2020,FLEX,PRATA,2020,43.225,"R$89.900,00"
TOYOTA HILUX 2020,DIESEL,PRATA,2020,23.800,"R$259.900,00"
CHEVROLET ONIX 2020,FLEX,BRANCO,2020,48.242,"R$54.900,00"
FORD RANGER 2020,DIESEL,VERMELHO,2020,96.686,"R$209.900,00"
NISSAN FRONTIER 2020,DIESEL,BRANCO,2020,59.570,"R$174.900,00"
VOLKSWAGEN VIRTUS 1.4 250 TSI GTS AUTOMÁTICO 2020,FLEX,BRANCO,2020,83.118,"R$116.900,00"
VOLKSWAGEN VIRTUS 1.4 250 TSI GTS AUTOMÁTICO 2020,FLEX,BRANCO,2020,83.118,"R$109.900,00"
VOLKSWAGEN VIRTUS 1.4 250 TSI GTS AUTOMÁTICO 2020,FLEX,BRANCO,2020,83.118,"R$115.900,00"
NISSAN KICKS 1.6 16V FLEXSTART S 4P XTRONIC 2020,FLEX,CINZA,2020,28.354,"R$95.900,00"
HONDA HR-V 1.8 16V FLEX EXL 4P AUTOMÁTICO 2020,FLEX,CINZA,2020,50.725,"R$121.900,00"
CHEVROLET CRUZE 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO 2020,FLEX,BRANCO,2020,26.000,"R$110.990,00"
JEEP RENEGADE 1.8 16V FLEX 4P AUTOMÁTICO 2020,FLEX,PRATA,2020,63.352,"R$93.150,00"
VOLKSWAGEN UP 1.0 MPI TOTAL FLEX 4P MANUAL 2020,FLEX,BRANCO,2020,51.319,"R$66.900,00"
FORD RANGER 2.2 XLS 4X2 CD 16V DIESEL 4P AUTOMÁTICO 2020,DIESEL,BRANCO,2020,67.859,"R$165.990,00"
VOLKSWAGEN UP 1.0 MPI TOTAL FLEX 4P MANUAL 2020,FLEX,BRANCO,2020,14.553,"R$70.400,00"
JEEP COMPASS 2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO 2020,DIESEL,VERDE,2020,91.242,"R$156.900,00"
FORD ECOSPORT 1.5 TI-VCT FLEX TITANIUM AUTOMÁTICO 2020,FLEX,BRANCO,2020,49.119,"R$93.150,00"
CHEVROLET ONIX PLUS 1.0 TURBO FLEX PREMIER AUTOMÁTICO 2020,FLEX,BRANCO,2020,3.759,"R$89.900,00"
FIAT CRONOS 1.3 FIREFLY FLEX DRIVE GSR 2020,FLEX,PRETO,2020,63.867,"R$66.900,00"
CHEVROLET ONIX PLUS 1.0 TURBO FLEX PREMIER AUTOMÁTICO 2020,FLEX,BRANCO,2020,20.884,"R$89.900,00"
RENAULT SANDERO 1.6 16V SCE FLEX STEPWAY ZEN MANUAL 2020,FLEX,PRATA,2020,67.256,"R$67.900,00"
FIAT TORO 2.0 16V TURBO DIESEL ULTRA 4WD AT9 2020,DIESEL,BRANCO,2020,44.200,"R$156.900,00"
CHEVROLET CRUZE 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO 2020,FLEX,BRANCO,2020,26.000,"R$110.990,00"
FIAT TORO 2.0 16V TURBO DIESEL VOLCANO 4WD AT9 2020,DIESEL,BRANCO,2020,50.903,"R$152.900,00"
HYUNDAI HB20S VISION 2020,FLEX,PRATA,2020,49.000,"R$65.990,00"
CHEVROLET Spin PREMIER 2020,FLEX,BRANCO,2020,117.200,"R$86.990,00"
RENAULT Duster Oroch EXP 1.6 2020,FLEX,BRANCO,2020,93.000,"R$86.990,00"
JEEP Renegade LNGTD 2020,FLEX,CINZA,2020,48.240,"R$94.990,00"
CHEVROLET Onix PREMIER 2 2020,FLEX,PRETO,2020,55.982,"R$87.990,00"
CHEVROLET S10 LT DD4A 2020,DIESEL,BRANCO,2020,91.400,"R$179.990,00"
HONDA FIT LX CVT 2020,FLEX,PRETO,2020,74.200,"R$75.990,00"
FIAT UNO ATTRACTIVE 1.0 2020,FLEX,PRATA,2020,37.773,"R$47.900,00"
VOLKSWAGEN GOL 1.6 2020,FLEX,BRANCO,2020,50.901,"R$53.900,00"
FORD KA 1.0 2020,FLEX,BRANCO,2020,36,"R$51.900,00"
VOLKSWAGEN NOVO POLO 1.6 TSI AUT 2020,FLEX,PRATA,2020,0,"R$72.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL 2020,FLEX,BRANCO,2020,32.400,"R$65.690,00"
TOYOTA YARIS 1.5 16V FLEX XL PLUS CONNECT MULTIDRIVE 2020,FLEX,PRETO,2020,45.300,"R$82.900,00"
TOYOTA HILUX 2.8 SRX 4X4 CD 16V DIESEL 4P AUTOMÁTICO 2020,DIESEL,PRATA,2020,0,"R$287.900,00"
HYUNDAI TUCSON 1.6 16V T-GDI GASOLINA GLS ECOSHIFT 2020,GASOLINA,BRANCO,2020,0,"R$139.900,00"
BRAMONT 2500 6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO 2020,DIESEL,BRANCO,2020,0,"R$469.900,00"
HONDA HR-V 1.8 16V FLEX LX 4P AUTOMÁTICO 2020,GASOLINA,BRANCO,2020,0,"R$114.900,00"
HONDA HR-V EX CVT AUTOMATICO 2020,FLEX,AZUL,2020,36.031,"R$123.900,00"
NISSAN VERSA SV _2P 2020,FLEX,BRANCO,2020,59.000,"R$68.900,00"
TOYOTA YARIS HB XLPLUSAT 2020,FLEX,CINZA,2020,49.000,"R$87.990,00"
JEEP RENEGADE TRAILHAWK AT D 2020,DIESEL,BRANCO,2020,59.000,"R$147.890,00"
HONDA HR-V TOURING 2020,GASOLINA,BRANCO,2020,56.000,"R$147.890,00"
CHEVROLET ONIX PLUS 10MT LT1 2020,FLEX,BRANCO,2020,103.359,"R$65.890,00"
CHEVROLET MONTANA LS2 2020,FLEX,BRANCO,2020,70.000,"R$64.890,00"
CHEVROLET ONIX JOY BLACK 2020,FLEX,PRATA,2020,107.200,"R$58.890,00"
MERCEDES-BENZ GLE 400D 4MATIC 2020,DIESEL,AZUL,2020,18.950,"R$649.990,00"
FIAT FIORINO HARD WORKING E 2020,FLEX,BRANCO,2020,120.000,"R$72.890,00"
HYUNDAI HB20 SENSE 2020,FLEX,PRETO,2020,169.228,"R$53.890,00"
FIAT ARGO DRIVE 1.0 _4P_ 2020,FLEX,VERMELHO,2020,38.629,"R$60.890,00"
FORD KA SE PLUS AT C 2020,FLEX,BRANCO,2020,39.030,"R$68.890,00"
TOYOTA YARIS HA XLS CONNECT 2020,FLEX,PRATA,2020,35.000,"R$96.890,00"
HONDA CIVIC TOURING 2020,GASOLINA,PRETO,2020,47.000,"R$149.900,00"
MERCEDES-BENZ A200 HI 2020,GASOLINA,CINZA,2020,16.340,"R$214.900,00"
MITSUBISHI OUTLANDER HPE 2020,GASOLINA,MARROM,2020,58.680,"R$153.900,00"
PEUGEOT 3008 GRIFFE AT 2020,GASOLINA,BRANCO,2020,63.700,"R$172.900,00"
JEEP RENEGADE LONGITUDE AUTOMATICO 2020,FLEX,BRANCO,2020,118.000,"R$87.900,00"
VOLKSWAGEN VOYAGE 1.6L MB5 2020,FLEX,BRANCO,2020,50.275,"R$56.900,00"
PEUGEOT 3008 GRIFFE AT 2020,GASOLINA,PRATA,2020,27.480,"R$175.900,00"
TOYOTA RAV4 H 25L S 4WD 4X4 2020,GASOLINA,PRATA,2020,42.250,"R$219.900,00"
VOLKSWAGEN T CROSS COMFORTLINE AD 2020,FLEX,BRANCO,2020,38.600,"R$105.900,00"
BMW 330 I 2020,GASOLINA,PRETO,2020,49.900,"R$254.900,00"
MERCEDES-BENZ A200 HI 2020,GASOLINA,PRATA,2020,34.000,"R$215.900,00"
VOLKSWAGEN T CROSS HIGHLINE AE 2020,FLEX,PRETO,2020,76.000,"R$108.900,00"
TOYOTA COROLLA A PREMIUM H 2020,FLEX,PRATA,2020,52.315,"R$151.900,00"
FIAT MOBI 1.0 8V EVO FLEX WAY ON MANUAL 2020,FLEX,BRANCO,2020,35.088,"R$54.900,00"
NISSAN VERSA 1.6 S FLEX 2020,FLEX,PRETO,2020,111.981,"R$61.900,00"
RENAULT CAPTUR 1.6 16V SCE FLEX INTENSE X-TRONIC 2020,FLEX,BEGE,2020,24.114,"R$93.900,00"
RENAULT CAPTUR LIFE 16A 2020,FLEX,BRANCO,2020,54.855,"R$92.900,00"
VOLKSWAGEN UP EXTREME 1.0 TSI 2020,FLEX,BRANCO,2020,56.577,"R$74.900,00"
FIAT STRADA FREEDOM 1.4 8V CS 2020,FLEX,BRANCO,2020,59.831,"R$73.900,00"
RENAULT DUSTER EXPRESSION 1.6 16V HI-FLEX 2020,FLEX,BRANCO,2020,55.481,"R$79.900,00"
RENAULT CAPTUR INTENSE 2.0 16V 5P AUT 2020,FLEX,PRATA,2020,64.459,"R$91.900,00"
HONDA HR-V EX CVT 1.8 I-VTEC 2020,FLEX,PRETO,2020,61.899,"R$119.900,00"
HYUNDAI TUCSON 1.6 16V T-GDI GASOLINA GLS ECOSHIFT 2020,GASOLINA,PRETO,2020,88.690,"R$136.900,00"
HYUNDAI IX35 GL 2.0 16V 2WD FLEX AUT. 2020,FLEX,PRATA,2020,47.417,"R$115.900,00"
HYUNDAI IX35 GL 2.0 16V 2WD FLEX AUT. 2020,FLEX,BRANCO,2020,56.028,"R$117.900,00"
HONDA FIT EX 1.5 16V FLEX AUT. 2020,FLEX,VERMELHO,2020,73.555,"R$89.900,00"
JEEP RENEGADE 1.8 AUTOMATICO 2020,FLEX,PRATA,2020,32.000,"R$88.500,00"
PEUGEOT 2008 ALLURE PACK 1.6 FLEX 16V AUT 2020,FLEX,VERMELHO,2020,38.000,"R$69.500,00"
CHEVROLET ONIX 1.0 MT LT 2020,FLEX,VERMELHO,2020,54.000,"R$70.000,00"
VOLKSWAGEN NOVA SAVEIRO RB MBVS 2020,FLEX,BRANCO,2020,82.000,"R$60.000,00"
HONDA HR-V EX CVT 1.8 I-VTEC 2020,FLEX,BRANCO,2020,38.000,"R$120.500,00"
VOLKSWAGEN TIGUAN ALLSPACE R-LINE 350 2020,GASOLINA,PRATA,2020,30.000,"R$229.000,00"
CHEVROLET CRUZE LT 1.4 16V TURBO FLEX 4P AUT 2020,FLEX,PRATA,2020,23.000,"R$106.000,00"
VOLKSWAGEN VIRTUS 1.6 MSI FLEX 16V 5P MEC 2020,FLEX,PRATA,2020,52.000,"R$74.000,00"
MERCEDES-BENZ A 250 2.0 TB HATCH VISION 2020,GASOLINA,PRATA,2020,15.000,"R$232.500,00"
FORD RANGER XLS CABINE DUPLA 4A22C 2020,DIESEL,CINZA,2020,106.000,"R$187.500,00"
VOLVO XC 60 T-8 HÍBRIDO R-DESIGN 2.0 5P 2020,GASOLINA,PRETO,2020,22.000,"R$348.000,00"
TOYOTA RAV4 2.5 SX 4X4 HYBRID AUT. 2020,GASOLINA,BRANCO,2020,54.000,"R$255.500,00"
FIAT TORO RANCH AT9 D4 CABINE DUPLA 2020,DIESEL,CINZA,2020,128.000,"R$149.500,00"
PORSCHE 718 CAYMAN 2.0 300CV 2020,GASOLINA,AZUL,2020,16.000,"R$550.000,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL 2020,FLEX,BRANCO,2020,100.000,"R$65.000,00"
RENAULT SANDERO GTL 10MT 2020,FLEX,BRANCO,2020,35.000,"R$52.500,00"
HONDA HR-V EXL CVT AUTOMATICO 2020,FLEX,AZUL,2020,41.000,"R$122.000,00"
HONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT 4P 2020,GASOLINA,AZUL,2020,59.000,"R$149.500,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2020,DIESEL,PRATA,2020,51.000,"R$252.500,00"
VOLKSWAGEN VIRTUS 1.6 MSI AUTOMATICO 2020,FLEX,BRANCO,2020,30.000,"R$81.000,00"
PEUGEOT 3008 GRIFFE AT 2020,GASOLINA,BRANCO,2020,52.000,"R$157.500,00"
JAC T40 1.5 JET FLEX 2020,FLEX,PRATA,2020,105.000,"R$64.000,00"
VOLKSWAGEN JETTA COMFORT. 250 TSI 1.4 FLEX 16V AUT 2020,FLEX,BRANCO,2020,35.000,"R$128.500,00"
AUDI A3 SEDAN PRESTIGE 1.4 TFSII FLEX TIPTRONIC 2020,FLEX,AZUL,2020,31.000,"R$147.500,00"
TOYOTA YARIS HA PLUS CONNECT 2020,FLEX,PRATA,2020,33.000,"R$86.500,00"
JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT 2020,FLEX,CINZA,2020,36.000,"R$142.500,00"
CHEVROLET ONIX PREMIER TURBO AT 1.0 2020,FLEX,PRATA,2020,46.000,"R$85.500,00"
RENAULT KWID ZEN 10MT 2020,FLEX,BRANCO,2020,39.000,"R$44.500,00"
FORD RANGER XLT C.D DIESEL 3.2 2020,DIESEL,BRANCO,2020,67.000,"R$210.500,00"
VOLKSWAGEN VIRTUS 1.6 MSI AUTOMATICO 2020,FLEX,PRETO,2020,87.000,"R$73.000,00"
HONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT 4P 2020,GASOLINA,BRANCO,2020,75.000,"R$149.500,00"
KIA SPORTAGE 4X2-MT LX 2.0 16V(N.SERIE) 4P 2020,FLEX,BRANCO,2020,56.000,"R$125.500,00"
TOYOTA YARIS HB XLS AT 2020,FLEX,CINZA,2020,48.000,"R$85.000,00"
JEEP COMPASS LIMITED DIESEL 2020,DIESEL,BRANCO,2020,84.000,"R$180.500,00"
HONDA HR-V TOURING 2020,GASOLINA,BRANCO,2020,31.000,"R$152.500,00"
PORSCHE MACAN 2.0 16V 2020,GASOLINA,PRETO,2020,33.000,"R$499.500,00"
BMW 330I SPORT 2.0 TB 16V 4P 2020,GASOLINA,PRETO,2020,58.000,"R$254.500,00"
RENAULT SANDERO ZEN 1.0 MANUAL 2020,FLEX,PRATA,2020,40.000,"R$53.000,00"
MITSUBISHI PAJERO SPORT HPE 2.4 4X4 DIESEL 2020,DIESEL,PRETO,2020,32.000,"R$303.500,00"
JEEP COMPASS LIMITED DIESEL 2020,DIESEL,CINZA,2020,35.000,"R$175.000,00"
BMW X3 XDRIVE 30I 2020,GASOLINA,CINZA,2020,23.500,"R$330.500,00"
FIAT TORO ULTRA AT9 D4 CABINE DUPLA 2020,DIESEL,BRANCO,2020,42.000,"R$157.500,00"
MERCEDES-BENZ A200 SD HI STYLE 1.3 CGI SEDAN 2020,GASOLINA,PRETO,2020,37.000,"R$193.000,00"
MITSUBISHI ECLIPSE CROSS HPE S AWC 4X4 2020,GASOLINA,MARROM,2020,39.000,"R$143.500,00"
VOLKSWAGEN UP CONNECT TSI MD _4P_ 2020,FLEX,BRANCO,2020,51.000,"R$68.000,00"
TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT. 2020,FLEX,PRATA,2020,23.000,"R$149.500,00"
HYUNDAI HB20 EVOLUTION 1.0 FLEX 12V MEC 2020,FLEX,PRATA,2020,44.000,"R$65.000,00"
TOYOTA HILUX SW4 2.8 SRX 4X4 16V TURBO INTERCOOLER 2020,DIESEL,PRATA,2020,50.000,"R$326.500,00"
TOYOTA HILUX SW4 2.8 SRX 4X4 16V TURBO INTERCOOLER DIESEL 4P 2020,DIESEL,BRANCO,2020,58.000,"R$325.500,00"
HONDA CIVIC TOURING 2020,GASOLINA,CINZA,2020,46.000,"R$145.500,00"
FIAT TORO ULTRA AT9 D4 CABINE DUPLA 2020,DIESEL,BRANCO,2020,40.000,"R$167.500,00"
TOYOTA COROLLA ALTIS 2.0 2020,FLEX,PRETO,2020,106.203,"R$135.990,00"
CHEVROLET ONIX PLUS 10TAT NB 2020,FLEX,PRETO,2020,0,"R$79.990,00"
VOLKSWAGEN GOL G7 MPI TOTAL FLEX 2020,FLEX,BRANCO,2020,68.700,"R$54.990,00"
HYUNDAI HB20 EVOLUTION TURBO AUTOMÃTICO 2020,FLEX,CINZA,2020,38.710,"R$84.990,00"
VOLKSWAGEN POLO MCA 2020,FLEX,BRANCO,2020,88.226,"R$66.990,00"
JEEP COMPASS LONGITUDE DIESEL 2020,DIESEL,PRETO,2020,48.500,"R$164.990,00"
FIAT SIENA ATTRACT 2020,FLEX,BRANCO,2020,68.345,"R$58.990,00"
PORSCHE MACAN F 2020,GASOLINA,BRANCO,2020,19.100,"R$474.900,00"
RENAULT KWID INTENSE _4P_ 2020,FLEX,PRATA,2020,107.705,"R$46.900,00"
MERCEDES-BENZ A250 2020,GASOLINA,PRETO,2020,22.300,"R$235.900,00"
FIAT TORO VOLCANO AT9 D4 CABINE DUPLA 2020,DIESEL,BRANCO,2020,66.934,"R$153.900,00"
VOLKSWAGEN UP XTREME TSI MD _4P_ 2020,FLEX,BRANCO,2020,52.896,"R$74.900,00"
TOYOTA ETIOS HB XPLUS MT _4P_ 2020,FLEX,PRATA,2020,109.000,"R$61.900,00"
HYUNDAI HB20 FE DIAMOND 2020,FLEX,VERMELHO,2020,34.000,"R$82.900,00"
VOLKSWAGEN POLO MCA 2020,FLEX,PRETO,2020,26.000,"R$65.900,00"
FORD KA TITANIUM C 2020,FLEX,CINZA,2020,879,"R$89.900,00"
FIAT TORO ENDURANCE MT5 CABINE DUPLA 2020,FLEX,BRANCO,2020,60.000,"R$94.900,00"
CHEVROLET S10 LT DD4A 2020,DIESEL,BRANCO,2020,79.000,"R$179.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL 2020,GASOLINA,BRANCO,2020,58.500,"R$51.900,00"
HONDA HR-V 1.8 16V FLEX EXL 4P AUTOMÁTICO 2020,GASOLINA,PRETO,2020,51.997,"R$125.900,00"
TOYOTA COROLLA 1.8 VVT-I HYBRID FLEX ALTIS CVT 2020,GASOLINA,PRATA,2020,23.000,"R$155.900,00"
VOLKSWAGEN UP 1.0 MPI TOTAL FLEX 4P MANUAL 2020,GASOLINA,BRANCO,2020,48.000,"R$62.900,00"
VOLKSWAGEN UP 1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL 2020,GASOLINA,BRANCO,2020,67.800,"R$73.900,00"
MITSUBISHI PAJERO SPORT HPE 2020,DIESEL,AZUL,2020,59.000,"R$289.800,00"
TOYOTA HILUX SW SRX A 4FD 4X4 2020,DIESEL,PRETO,2020,70.000,"R$316.800,00"
FIAT MOBI LIKE _4P_ 2020,FLEX,PRETO,2020,28.500,"R$49.800,00"
FIAT TORO ULTRA AT9 D4 CABINE DUPLA 2020,DIESEL,PRETO,2020,44.000,"R$154.800,00"
FIAT ARGO PRECISION AT6 2020,FLEX,PRETO,2020,38.000,"R$75.800,00"
FORD ECOSPORT SE 2020,FLEX,BRANCO,2020,74.400,"R$79.800,00"
TOYOTA HILUX CD SRV 4FD 2020,DIESEL,BRANCO,2020,46.900,"R$249.800,00"
RAM 2500 LARAMIE 2020,DIESEL,AZUL,2020,30.000,"R$419.800,00"
VOLKSWAGEN GOL MC4 _4P_ 2020,FLEX,BRANCO,2020,0,"R$50.800,00"
FIAT Cronos 1.3 Drive Firefly (Flex) 2020,GASOLINA,BRANCO,2020,49.001,"R$66.900,00"
CITROEN C4 Cactus 1.6 Feel Pack (Aut) (Flex) 2020,GASOLINA,AZUL,2020,49.284,"R$80.900,00"
FIAT Toro Ultra 2.0 16V 4x4 Diesel Aut. 2020,DIESEL,PRETO,2020,73.505,"R$162.900,00"
CHEVROLET Onix LT 1.0 (Flex) 2020,GASOLINA,PRETO,2020,37.727,"R$65.900,00"
CHEVROLET Cruze LT 1.4 16V Turbo Flex (Aut) (Flex) 2020,GASOLINA,PRETO,2020,45.248,"R$106.990,00"
RENAULT RENAULT SANDERO LIFE 10MT 2020,FLEX,PRATA,2020,0,"R$51.990,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL 2020,GASOLINA,BRANCO,2020,164.000,"R$65.990,00"
FIAT ARGO DRIVE 1.0 _4P_ 2020,FLEX,CINZA,2020,60.000,"R$58.900,00"
FORD KA SE 1.0 MEC. 2020,FLEX,VERMELHO,2020,46.839,"R$43.900,00"
VOLKSWAGEN AMAROK CABINE DUPLA HIGHLINE 2020,DIESEL,PRATA,2020,132.930,"R$179.900,00"
VOLKSWAGEN GOL 1.6 2020,FLEX,BRANCO,2020,19.138,"R$54.900,00"
NISSAN VERSA 10 2020,FLEX,BRANCO,2020,126.000,"R$59.900,00"
FIAT STRADA HD WK 2020,FLEX,BRANCO,2020,103.697,"R$68.900,00"
FIAT ARGO DRIVE 1.0 2020,FLEX,BRANCO,2020,0,"R$64.900,00"
VOLKSWAGEN VOYAGE 2020,FLEX,BRANCO,2020,66.700,"R$56.990,00"
TOYOTA COROLLA 2020,GASOLINA,BRANCO,2020,53.926,"R$149.990,00"
VOLKSWAGEN T-Cross 2020,FLEX,PRATA,2020,44.913,"R$115.990,00"
RENAULT SANDERO 2020,FLEX,BRANCO,2020,72.101,"R$53.990,00"
RENAULT LOGAN 2020,FLEX,PRETO,2020,49.348,"R$70.990,00"
FORD KA 2020,FLEX,PRATA,2020,40.357,"R$56.990,00"
